handle,name,url,location,timezone,country,language
lohud,The Westchester County Journal News,https://www.lohud.com/,White Plains,America/New_York,US,en
lokaantar,Lokantar,https://lokaantar.com/,Lalitpur,Asia/Kathmandu,NP,ne
lokpath,Lokpath,https://www.lokpath.com/,Kathmandu,Asia/Kathmandu,NP,ne
lookoutscruz,Lookout Santa Cruz,https://lookout.co/santacruz/,Santa Cruz,America/Los_Angeles,US,en
lp_lapresse,La Presse,https://www.lapresse.ca/,Montreal,America/New_York,CA,fr
lrb,London Review of Books,https://www.lrb.co.uk/,London,Europe/London,GB,en
lsjnews,Lansing State Journal,https://www.lansingstatejournal.com/,Lansing,America/Detroit,US,en
ltntw,Liberty Times,https://www.ltn.com.tw/,Taipei City,Asia/Taipei,TW,zh
lubbockonline,Lubbock Avalanche-Journal,https://www.lubbockonline.com/,Lubbock,America/Chicago,US,en
maarivonline,Maariv,https://www.maariv.co.il/,Tel Aviv,Asia/Tel_Aviv,IL,he
macrumors,MacRumors,https://www.macrumors.com/,Virginia,America/New_York,US,en
mailandguardian,Mail & Guardian,https://mg.co.za/,Johannesburg,Africa/Johannesburg,ZA,en
mailonline,Daily Mail,https://www.dailymail.co.uk/home/index.html,London,Europe/London,GB,en
mainemonitor,Maine Monitor,https://themainemonitor.org/,Augusta,America/New_York,US,en
mansfieldnj,Mansfield News Journal,https://www.mansfieldnewsjournal.com/,Mansfield,America/New_York,US,en
marfaradio,Marfa Public Radio,https://marfapublicradio.org/,Marfa,America/Chicago,US,en
maroelamedia,Maroela Media,https://maroelamedia.co.za/,Centurion,Africa/Johannesburg,ZA,af
marshallproj,Marshall Project,https://www.themarshallproject.org/,New York City,America/New_York,US,en
marylandmatters,Maryland Matters,https://www.marylandmatters.org/,Takoma Park,America/New_York,US,en
mashable,Mashable,https://mashable.com/,Silicon Valley,America/Los_Angeles,US,en
mcall,The Morning Call,https://www.mcall.com/,Allentown,America/New_York,US,en
mcclatchydc,McClatchy DC,http://www.mcclatchydc.com,Washington,America/New_York,US,en
mcgilldaily,McGill Daily,https://www.mcgilldaily.com/,Montreal,America/New_York,CA,en
mddailyrecord,Maryland Daily Record,https://thedailyrecord.com/,Baltimore,America/New_York,US,en
mdjonline,Marietta Daily Journal,https://www.mdjonline.com,Marietta,America/New_York,US,en
mdr_san,MDR Sachsen-Anhalt,https://www.mdr.de/nachrichten/index.html,Magdeburg,Europe/Berlin,DE,de
media_outlier,Outlier Media,https://outliermedia.org/,Detroit,America/Chicago,US,en
mediaite,Mediaite,https://www.mediaite.com/,New York City,America/New_York,US,en
mediapart,Mediapart,https://www.mediapart.fr/,Paris,Europe/Paris,FR,fr
meduzaproject,Meduza,https://meduza.io/,Riga,Europe/Riga,LV,ru
memphisnews,Commercial Appeal,https://www.commercialappeal.com/,Memphis,America/Chicago,US,en
mercedsunstar,Merced Sun Star,http://www.mercedsunstar.com,Merced,America/Los_Angeles,US,en
mercnews,Mercury News,https://www.mercurynews.com/,San Jose,America/Los_Angeles,US,en
metropoles,Metrópoles,https://www.metropoles.com/,Brasília,America/Sao_Paulo,BR,pt
metrowestdaily,MetroWest Daily News,https://www.metrowestdailynews.com/,Framingham,America/New_York,US,en
mgmadvertiser,Montgomery Advertiser,https://www.montgomeryadvertiser.com/,Montgomery,America/Chicago,US,en
miamiherald,Miami Herald,https://www.miamiherald.com/,Miami,America/New_York,US,en
michigandaily,Michigan Daily,https://www.michigandaily.com/,Ann Arbor,America/Detroit,US,en
midnight_sun_ak,Midnight Sun,https://midnightsunak.com/,Anchorage,America/Anchorage,US,en
milenio,Milenio,https://www.milenio.com/,Monterrey,America/Mexico_City,MX,es
milforddaily,Milford Daily News,https://www.milforddailynews.com/,Milford,America/New_York,US,en
minnpost,MinnPost,https://www.minnpost.com/,Minneapolis,America/Chicago,US,en
missoulian,Missoulian,https://missoulian.com/,Missoula,America/Denver,US,en
miwisconsin,mi wisconsin,https://miwisconsin.com/,Madison,America/Chicago,US,en
mlnow,Mission Local,https://missionlocal.org/,San Francisco,America/Los_Angeles,US,en
mmfa,Media Matters,https://www.mediamatters.org/,Washington,America/New_York,US,en
mnherald,Marshfield News-Herald,https://www.marshfieldnewsherald.com/,Marshfield,America/Chicago,US,en
mo_independent,Missouri Independent,https://missouriindependent.com/,Jefferson City,America/Chicago,US,en
modbee,The Modesto Bee,http://www.modbee.com,Modesto,America/Los_Angeles,US,en
mongabay,Mongabay,http://www.mongabay.com/,Menlo Park,America/Los_Angeles,US,en
moreperfectus,More Perfect Union,https://perfectunion.us/,Washington,America/New_York,US,en
morningbrew,Morning Brew,https://www.morningbrew.com/,New York City,America/New_York,US,en
motherjones,Mother Jones,https://www.motherjones.com/,San Francisco,America/Los_Angeles,US,en
msfreepress,Mississippi Free Press,https://www.mississippifreepress.org/,Jackson,America/Chicago,US,en
msn,MSN,https://www.msn.com/,Redmond,America/Los_Angeles,US,en
msnbc,MSNBC,https://www.msnbc.com/,New York City,America/New_York,US,en
mstodaynews,Mississippi Today,https://mississippitoday.org/,Jackson,America/New_York,US,en
mtfreepress,Montana Free Press,https://montanafreepress.org/,Helena,America/Chicago,US,en
mtlgazette,Montreal Gazette,https://montrealgazette.com/,Montreal,America/New_York,CA,en
mtnstspotlight,Mountain State Spotlight,https://mountainstatespotlight.org/,Charleston,America/New_York,US,en
mtshastanews,Mount Shasta Herald,https://www.mtshastanews.com/,Mt. Shasta,America/Los_Angeles,US,en
mtvnews,MTV News,https://www.mtv.com/news/,New York City,America/New_York,US,en
mvsnoticias,MVS Noticias,https://mvsnoticias.com/,Mexico City,America/Mexico_City,MX,es
mwtnews,Midland Reporter-Telegram,https://www.mrt.com/,Midland,America/Chicago,US,en
mydelmarvanow,Salisbury Daily Times,https://www.delmarvanow.com/,Salisbury,America/New_York,US,en
mydesert,The Desert Sun,https://www.desertsun.com/,Palm Springs,America/Los_Angeles,US,en
nagarik_news,Nagarik News,https://nagariknews.nagariknetwork.com/,Kathmandu,Asia/Kathmandu,NP,ne
natgeo,National Geographic,https://www.nationalgeographic.com/,Washington,America/New_York,US,en
nationaljournal,National Journal,https://www.nationaljournal.com/,Washington,America/New_York,US,en
nationalpost,National Post,https://nationalpost.com/,Toronto,America/New_York,CA,en
naya_patrika,Naya Patrika,https://www.nayapatrikadaily.com/,Kathmandu,Asia/Kathmandu,NP,ne
nbcbayarea,NBC Bay Area,https://www.nbcbayarea.com/,San Francisco,America/Los_Angeles,US,en
nbcchicago,NBC Chicago,https://www.nbcchicago.com/,Chicago,America/Chicago,US,en
nbcconnecticut,NBC Connecticut,https://www.nbcconnecticut.com/,West Hartford,America/New_York,US,en
nbcdfw,NBC DFW,https://www.nbcdfw.com/,Dallas,America/Chicago,US,en
nbcnews,NBC News,https://www.nbcnews.com/,New York City,America/New_York,US,en
nbcphiladelphia,NBC10 Philadelphia,https://www.nbcphiladelphia.com/,Philadelphia,America/New_York,US,en
nbsunjournal,New Bern Sun Journal,https://www.newbernsj.com/,New Bern,America/New_York,US,en
ncronline,National Catholic Reporter,https://www.ncronline.org/,Kansas City,America/Chicago,US,en
ndn,Naples Daily News,https://www.naplesnews.com/,Naples,America/New_York,US,en
nebpublicmedia,Nebraska Public Media,https://nebraskapublicmedia.org/en/,Lincoln,America/Chicago,US,en
neheadlines,Hardin News-Enterprise,https://www.thenewsenterprise.com/,Hardin County,America/Chicago,US,en
nepalkhabar24,Nepal Khabar,https://nepalkhabar.com/,Kathmandu,Asia/Kathmandu,NP,ne
nettavisen,Nettavisen,https://www.nettavisen.no/,Oslo,Europe/Oslo,NO,no
netwerk24,Netwerk24,https://www.netwerk24.com/,Cape Town,Africa/Johannesburg,ZA,af
newarkadvocate,Newark Advocate,https://www.newarkadvocate.com/,Newark,America/New_York,US,en
newrepublic,New Republic,https://newrepublic.com/,New York City,America/New_York,US,en
news12nj,News12NJ,https://newjersey.news12.com/,Edison,America/New_York,US,en
news24,news24,https://www.news24.com/,Cape Town,Africa/Johannesburg,ZA,en
news3lv,KSNV News 3,https://news3lv.com/,Las Vegas,America/Los_Angeles,US,en
news_letter,Belfast News Letter,https://www.newsletter.co.uk/,Belfast,Europe/Dublin,GB,en
newschannelne,News Channel Nebraska,https://metro.newschannelnebraska.com/,Norfolk,America/Chicago,US,en
newscientist,New Scientist,https://www.newscientist.com/,London,Europe/London,GB,en
newsday,Newsday,https://www.newsday.com/,Long Island,America/New_York,US,en
newsgorkhapatra,Gorakhapatra,https://gorkhapatraonline.com/,Kathmandu,Asia/Kathmandu,NP,ne
newshour,PBS News Hour,https://www.pbs.org/newshour/,Washington,America/New_York,US,en
newslaundry,Newslaundry,https://www.newslaundry.com/,New Delhi,Asia/Kolkata,IN,en
newsleadernow,Staunton Daily News Leader,https://www.newsleader.com/,Staunton,America/New_York,US,en
newsmax,Newsmax,https://www.newsmax.com/,Boca Raton,America/New_York,US,en
newsminer,Fairbanks Daily News-Miner,https://www.newsminer.com/,Fairbanks,America/Anchorage,US,en
newsobserver,The News And Observer,http://www.newsobserver.com,Raleigh,America/New_York,US,en
newspressnow,St. Joseph News Press,https://www.newspressnow.com/,St. Joseph,America/Chicago,US,en
newsrepublican,Boone News Republican,https://www.newsrepublican.com/,Boone,America/Chicago,US,en
newstatesman,New Statesman,https://www.newstatesman.com/uk,London,Europe/London,GB,en
newstribune,Jefferson City News Tribune,https://www.newstribune.com/,Jefferson City,America/Chicago,US,en
newsweek,Newsweek,https://www.newsweek.com/,New York City,America/New_York,US,en
newyorker,New Yorker,https://www.newyorker.com/,New York City,America/New_York,US,en
nextcityorg,Next City,https://nextcity.org/,Philadelphia,America/New_York,US,en
nhk_news,NHK,https://www3.nhk.or.jp/news/,Tokyo,Asia/Tokyo,JP,ja
nhpr,New Hampshire Public Radio,https://www.nhpr.org/,Manchester,America/New_York,US,en
nhregister,New Haven Register,https://www.nhregister.com/,New Haven,America/New_York,US,en
niemanlab,Nieman Lab,https://www.niemanlab.org/,Cambridge,America/New_York,US,en
nikkei,Nikkei,https://www.nikkei.com/,Tokyo,Asia/Tokyo,JP,ja
njherald,New Jersey Herald,https://www.njherald.com/,Newton,America/New_York,US,en
northjersey,northjersey.com,https://www.northjersey.com/,Hackensack,America/New_York,US,en
norwichbulletin,The Norwich Bulletin,https://www.norwichbulletin.com/,Norwich,America/New_York,US,en
not_the_bee,Not the Bee,https://notthebee.com/,Jupiter,America/New_York,US,en
novayagazeta_eu,Novaya Gazeta,https://novayagazeta.eu/,Moscow,Europe/Moscow,RU,ru
npr,NPR,https://www.npr.org/,Washington,America/New_York,US,en
nrk,NRK,https://www.nrk.no/,Oslo,Europe/Oslo,NO,no
nro,National Review,https://www.nationalreview.com/,Washington,America/New_York,US,en
ntdaily,North Texas Daily,https://www.ntdaily.com/,Denton,America/Chicago,US,en
nwademgaz,Northwest Arkansas Democrat-Gazette,https://www.nwaonline.com/,Fayetteville,America/Chicago,US,en
nwfdailynews,Northwest Florida Daily News,https://www.nwfdailynews.com/,Fort Walton Beach,America/Chicago,US,en
ny1,NY1,https://www.ny1.com/,New York City,America/New_York,US,en
nybooks,New York Review of Books,https://www.nybooks.com/,New York City,America/New_York,US,en
nydailynews,Daily News,https://www.nydailynews.com/,New York City,America/New_York,US,en
nymag,New York,https://nymag.com/,New York City,America/New_York,US,en
nypost,New York Post,https://nypost.com/,New York City,America/New_York,US,en
nysfocus,New York Focus,http://www.nysfocus.com/,New York City,America/New_York,US,en
nytimes,New York Times,https://www.nytimes.com,New York City,America/New_York,US,en
nzherald,NZ Herald,https://www.nzherald.co.nz/,Auckland,Pacific/Auckland,NZ,en
nzstuff,Stuff,https://www.stuff.co.nz/,Auckland,Pacific/Auckland,NZ,en
o_antagonista,O Antagonista,https://oantagonista.uol.com.br/,São Paulo,America/Sao_Paulo,BR,pt
oaklandside,The Oaklandside,https://oaklandside.org/,Oakland,America/Los_Angeles,US,en
oann,One America News Network,https://www.oann.com/,San Diego,America/New_York,US,en
objectivejrn,Objective,https://objectivejournalism.org/,Los Angeles,America/Los_Angeles,US,en
observatorio,Observatório da Imprensa,https://www.observatoriodaimprensa.com.br/,Campinas,America/Sao_Paulo,BR,pt
ocalastarbanner,Ocala StarBanner,https://www.ocala.com/,Ocala,America/New_York,US,en
occrp,Organized Crime and Corruption Reporting Project,https://www.occrp.org/en/,Sarajevo,Europe/Sarajevo,BA,en
ocmediaorg,Open Caucasus Media,https://oc-media.org/,Tbilisi,Asia/Tbilisi,GE,en
ocregister,Orange County Register,https://www.ocregister.com/,Anaheim,America/Los_Angeles,US,en
oglethorpe_echo,Oglethorpe Echo,https://www.theoglethorpeecho.com/,Oglethorpe,America/New_York,US,en
okayplayer,okayplayer,https://www.okayplayer.com/,Philadelphia,America/New_York,US,en
oklahomawatch,Oklahoma Watch,https://oklahomawatch.org/,Oklahoma City,America/Chicago,US,en
oldiemagazine,Oldie,https://www.theoldie.co.uk/,London,Europe/London,GB,en
omelete,Omelete,https://www.omelete.com.br/,São Paulo,America/Sao_Paulo,BR,pt
online_khabar,Online Khabar,https://www.onlinekhabar.com/,Kathmandu,Asia/Kathmandu,NP,ne
onlineathens,Athens Banner-Herald,https://www.onlineathens.com/,Athens,America/New_York,US,en
onwnews,Oshkosh Northwestern,https://www.thenorthwestern.com/,Oshkosh,America/Chicago,US,en
opensecretsdc,OpenSecrets,http://www.opensecrets.org/,Washington,America/New_York,US,en
openvallejo,Open Vallejo,https://www.openvallejo.org/,Vallejo,America/Los_Angeles,US,en
opovo,O Povo,https://www.opovo.com.br/,Fortaleza,America/Sao_Paulo,BR,pt
orcapchronicle,Oregon Capital Chronicle,https://oregoncapitalchronicle.com/,Salem,America/Los_Angeles,US,en
oregonian,Oregonian,https://www.oregonlive.com/,Portland,America/Los_Angeles,US,en
orf_at,ORF News,https://orf.at/,Vienna,Europe/Vienna,AT,de
oronline,Observer-Reporter,https://observer-reporter.com/,Washington,America/New_York,US,en
osnepalnews,OSNepal,https://www.osnepal.com/,Kathmandu,Asia/Kathmandu,NP,ne
ottawacitizen,Ottawa Citizen,https://ottawacitizen.com/,Ottawa,America/New_York,CA,en
ottumwacourier,Ottumwa Courier,https://www.ottumwacourier.com/,Ottumwa,America/Chicago,US,en
owhnews,Omaha World Herald,https://omaha.com/,Omaha,America/Chicago,US,en
oxciej,Oxpeckers,https://oxpeckers.org/,South Africa,Africa/Johannesburg,ZA,en
pagesix,Page Six,https://pagesix.com/,New York City,America/New_York,US,en
pagina12,Página/12,https://www.pagina12.com.ar/,Buenos Aires,America/Buenos_Aires,AR,es
pajaropolitico,Animal Político,https://www.animalpolitico.com/,Mexico City,America/Mexico_City,MX,es
parisreview,Paris Review,https://www.theparisreview.org/,Paris,Europe/Paris,FR,fr
patriotledger,The Patriot Ledger,https://www.patriotledger.com/,Quincy,America/New_York,US,en
pbpost,The Palm Beach Post,https://www.palmbeachpost.com/,West Palm Beach,America/New_York,US,en
pcnewsherald,Port Clinton News Herald,https://www.portclintonnewsherald.com/,Port Clinton,America/New_York,US,en
pekindailytimes,Pekin Daily Times,https://www.pekintimes.com/,Pekin,America/Chicago,US,en
peninsupress,Peninsula Press,https://peninsulapress.com/,Palo Alto,America/Los_Angeles,US,en
people,People,https://people.com/,New York City,America/New_York,US,en
perfilcom,Perfil,https://www.perfil.com/,Buenos Aires,America/Buenos_Aires,AR,es
petoskeynews,Petoskey News-Review,https://www.petoskeynews.com/,Petoskey,America/Detroit,US,en
phillyinquirer,Philadelphia Inquirer,https://www.inquirer.com/,Philadelphia,America/New_York,US,en
phillytrib,Philadelphia Tribune,https://www.phillytrib.com/,Philadelphia,America/New_York,US,en
phoenixluc,Loyola Phoenix,https://loyolaphoenix.com/,Chicago,America/Chicago,US,en
pi_news,Richmond Palladium-Item,https://www.pal-item.com/,Richmond,America/Indiana/Indianapolis,US,en
pinjnews,Pittsburgh Institute for Nonprofit Journalism,https://pinjnews.org/,Pittsburgh,America/New_York,US,en
pioneerpress,Twin Cities Pioneer Press,https://www.twincities.com/,St. Paul,America/Chicago,US,en
pitchfork,Pitchfork,https://pitchfork.com/,Chicago,America/Chicago,US,en
pittsburghpg,Pittsburgh Post-Gazette,https://www.post-gazette.com/,Pittsburgh,America/New_York,US,en
pjstar,Peoria Journal Star,https://www.pjstar.com/,Peoria,America/Chicago,US,en
platformer,Platformer,https://www.platformer.news/,San Francisco,America/Los_Angeles,US,en
pnj,Pensacola News Journal,https://www.pnj.com/,Pensacola,America/Chicago,US,en
poconorecord,Pocono Record,https://www.poconorecord.com/,Stroudsburg,America/New_York,US,en
poder360,Poder 360,https://www.poder360.com.br/,Brasília,America/Sao_Paulo,BR,pt
pointreyeslight,Point Reyes Light,https://www.ptreyeslight.com/,Point Reyes,America/Los_Angeles,US,en
pokjournal,Poughkeepsie Journal,https://www.poughkeepsiejournal.com/,Poughkeepsie,America/New_York,US,en
politico,POLITICO,https://www.politico.com/,Washington,America/New_York,US,en
politifact,Politifact ,https://www.politifact.com/,Washington,America/New_York,US,en
ponews,Chambersburg Public Opinion,https://www.publicopiniononline.com/,Chambersburg,America/New_York,US,en
populardiario,Diario Popular,https://www.diariopopular.com.ar/,Sarandi,America/Buenos_Aires,AR,es
portalimprensa,Portal Imprensa,https://www.portalimprensa.com.br/,São Paulo,America/Sao_Paulo,BR,pt
portlandmercury,Portland Mercury,https://www.portlandmercury.com/,Portland,America/Los_Angeles,US,en
postandcourier,Post and Courier,https://www.postandcourier.com/,Charleston,America/New_York,US,en
postcrescent,Appleton Post Crescent,https://www.postcrescent.com/,Appleton,America/Chicago,US,en
powerlineus,Power Line,https://www.powerlineblog.com/,Washington,America/New_York,US,en
prabhatkhabar,Prabhat Khabar,https://www.prabhatkhabar.com/,Ranchi,Asia/Kolkata,IN,hi
prensagrafica,Prensa Grafica,https://www.laprensagrafica.com/,San Salvador,America/Denver,SV,es
presscitizen,Iowa City Press-Citizen,https://www.press-citizen.com/,Iowa City,America/Chicago,US,en
pressconnects,Binghamton Press & Sun-Bulletin,https://www.pressconnects.com/,Binghamton,America/New_York,US,en
pressenterprise,Riverside Press-Enterprise,https://www.pe.com/,Riverside,America/Los_Angeles,US,en
pressherald,Portland Press Herald,https://www.pressherald.com/,Portland,America/New_York,US,en
prismreports,Prism,https://prismreports.org/,Oakland,America/Los_Angeles,US,en
prisonjourn,Prison Journalism Project,https://prisonjournalismproject.org/,Chicago,America/Chicago,US,en
privateeyenews,Private Eye,https://www.private-eye.co.uk/,London,Europe/London,GB,en
proceso,Proceso,https://www.proceso.com.mx/,Mexico City,America/Mexico_City,MX,es
progressindex,The Progress-Index,https://www.progress-index.com/,Petersburg,America/New_York,US,en
progressoms,O Progresso,https://www.progresso.com.br/,Dourados,America/Sao_Paulo,BR,pt
projo,The Providence Journal,https://www.providencejournal.com/,Providence,America/New_York,US,en
proof,Proof News,https://www.proofnews.org/,New York City,America/New_York,US,en
propublica,ProPublica,https://www.propublica.org/,New York City,America/New_York,US,en
publicintegrity,Center for Public Integrity,https://publicintegrity.org/,Washington,America/New_York,US,en
publicopinionsd,Watertown Public Opinion,https://www.thepublicopinion.com/,Watertown,America/Chicago,US,en
pucknews,Puck,https://puck.news/,New York City,America/New_York,US,en
pulitzercenter,Pulitzer Center,http://www.pulitzercenter.org/,Washington,America/New_York,US,en
punchbowlnews,Punchbowl News,https://punchbowl.news/,Washington,America/New_York,US,en
punjabkesari,Punjab Kesari,https://www.punjabkesari.in/,Jalandhar,Asia/Kolkata,IN,hi
qctimes,Quad City Times,https://qctimes.com/,Davenport,America/Chicago,US,en
quillette,Quillette,https://quillette.com/,London,Europe/London,GB,en
quintoelab,Quinto Elemento Lab,https://quintoelab.org/,Mexico City,America/Mexico_City,MX,es
qz,Quartz,https://qz.com/,New York City,America/New_York,US,en
rajdhani_daily,Rajdhani Daily,https://rajdhanidaily.com/,Kathmandu,Asia/Kathmandu,NP,ne
rato_pati,Rato Pati,https://ratopati.com/,Lalitpur,Asia/Kathmandu,NP,ne
rawstory,Raw Story,https://www.rawstory.com/,Washington,America/New_York,US,en
realclearnews,Real Clear Politics,https://www.realclearpolitics.com/,Washington,America/New_York,US,en
realdailywire,Daily Wire,https://www.dailywire.com/,Nashville,America/New_York,US,en
reason,Reason,https://reason.com/,Washington,America/New_York,US,en
reckonnews,Reckon,https://www.reckon.news/,Montgomery,America/Chicago,US,en
recordnet,Stockton Record,https://www.recordnet.com/,Stockton,America/Los_Angeles,US,en
recordonline,Times Herald-Record,https://www.recordonline.com/,Middletown,America/New_York,US,en
recordpub,Kent Ravenna Record-Courier,https://www.record-courier.com/,Kent,America/New_York,US,en
redstate,RedState,https://redstate.com/,Washington,America/New_York,US,en
reductress,Reductress,https://reductress.com/,New York City,America/New_York,US,en
reforma,Reforma,https://www.reforma.com/,Monterrey,America/Mexico_City,MX,es
registerguard,The Register Guard,https://www.registerguard.com/,Eugene,America/Los_Angeles,US,en
reporte_indigo,Reporte Índigo,https://www.reporteindigo.com/,Mexico City,America/Mexico_City,MX,es
reporternews,Abilene Reporter News,https://www.reporternews.com/,Abilene,America/Chicago,US,en
repubblica,Repubblica,https://www.repubblica.it/,Rome,Europe/Berlin,IT,it
restofworld,Rest of World,https://restofworld.org/,New York City,America/New_York,US,en
reuters,Reuters,https://www.reuters.com/,London,Europe/London,GB,en
reveal,Reveal,https://revealnews.org/,Emeryville,America/Los_Angeles,US,en
reviewjournal,Las Vegas Review-Journal,https://www.reviewjournal.com/,Las Vegas,America/Los_Angeles,US,en
revistaistoe,ISTOÉ,https://istoe.com.br/,São Paulo,America/Sao_Paulo,BR,pt
revistapiaui,revista piauí,https://piaui.folha.uol.com.br/,São Paulo,America/Sao_Paulo,BR,pt
rfi,RFI,https://www.rfi.fr/fr/,Paris,Europe/Paris,FR,fr
rgj,Reno Gazette-Journal,https://www.rgj.com/,Reno,America/Los_Angeles,US,en
rgvfox,Fox South Texas,https://foxnewssouthtexas.com/,McAllen,America/Chicago,US,en
rhherald,The Herald,http://www.heraldonline.com,Rock Hill,America/New_York,US,en
rianru,RIA Novosti,https://ria.ru/,Moscow,Europe/Moscow,RU,ru
ringer,Ringer,https://www.theringer.com/,Los Angeles,America/Los_Angeles,US,en
rnz_news,RNZ,https://www.rnz.co.nz/news,Wellington,Pacific/Auckland,NZ,en
rollcall,Roll Call,https://rollcall.com/,Washington,America/New_York,US,en
rollingstone,Rolling Stone,https://www.rollingstone.com/,New York City,America/New_York,US,en
romenewstribune,Rome News-Tribune,https://www.northwestgeorgianews.com/rome,Rome,America/New_York,US,en
rpbreakingnews,Rajasthan Patrika,https://www.patrika.com/,Jaipur,Asia/Kolkata,IN,hi
rt_com,RT,https://www.rt.com/,Moscow,Europe/Moscow,RU,en
rtdnews,Richmond Times-Dispatch,https://richmond.com/,Richmond,America/New_York,US,en
rtenews,RTE,https://www.rte.ie/,Dublin,Europe/Dublin,IE,en
ruidosonews,Ruidoso News,https://www.ruidosonews.com/,Ruidoso,America/Denver,US,en
sacbee_news,Sacramento Bee,https://www.sacbee.com/,Sacramento,America/Los_Angeles,US,en
sahanjournal,Sahan Journal,https://sahanjournal.com/,Minneapolis,America/Chicago,US,en
salem_statesman,Salem Statesman Journal,https://www.statesmanjournal.com/,Salem,America/Los_Angeles,US,en
salinajournal,Salina Journal,https://www.salina.com/,Salina,America/Chicago,US,en
salnews,The Salinas Californian,https://www.thecalifornian.com/,Salinas,America/Los_Angeles,US,en
salon,Salon,https://www.salon.com/,New York City,America/New_York,US,en
sankei_news,Sankei Shimbun,https://www.sankei.com/,Tokyo,Asia/Tokyo,JP,ja
savannahnow,Savannah Morning News,https://www.savannahnow.com,Savannah,America/New_York,US,en
sbnation,SB Nation,https://www.sbnation.com/,New York City,America/New_York,US,en
sbtnews,SBT news,https://www.sbtnews.com.br/,Osasco,America/Sao_Paulo,BR,pt
scalawagmag,Scalawag,https://scalawagmagazine.org/,Durham,America/New_York,US,en
scotnational,National,https://www.thenational.scot/,Scotland,Europe/London,GB,en
scottishsun,Scottish Sun,https://www.thescottishsun.co.uk/,Glasgow,Europe/London,GB,en
scotusblog,SCOTUS Blog,https://www.scotusblog.com/,Washington,America/New_York,US,en
scsentinel,Santa Cruz Sentinel,https://www.santacruzsentinel.com/,Santa Cruz,America/Los_Angeles,US,en
scsunnews,Silver City Sun News,https://www.scsun-news.com/,Silver City,America/Denver,US,en
sctimes,St. Cloud Times,https://www.sctimes.com/,St. Cloud,America/Chicago,US,en
sdut,San Diego Union Tribune,https://www.sandiegouniontribune.com/,San Diego,America/Los_Angeles,US,en
seacoastonline,Seacoastonline.com,https://www.seacoastonline.com/,Portsmouth,America/New_York,US,en
searchlightnm,Searchlight New Mexico,https://searchlightnm.org/,Sante Fe,America/Denver,US,en
seattletimes,Seattle Times,https://www.seattletimes.com/,Seattle,America/Los_Angeles,US,en
segodnya_online,Segodnya,https://www.segodnya.ua/ua/allnews.html,Kiev,Europe/Kiev,UA,uk
seikyoofficial,Seikyo Shimbun,https://www.seikyoonline.com/,Tokyo,Asia/Tokyo,JP,ja
semafor,Semafor,https://www.semafor.com/,New York City,America/New_York,US,en
setopati,Setopati,https://www.setopati.com/,Kathmandu,Asia/Kathmandu,NP,ne
sfchronicle,San Francisco Chronicle,https://www.sfchronicle.com/,San Francisco,America/Los_Angeles,US,en
sfstandard,The San Francisco Standard,https://sfstandard.com/,San Francisco,America/Los_Angeles,US,en
sgfcitizen,Springfield Daily Citizen,https://sgfcitizen.org/,Springfield,America/Chicago,US,en
sheboyganpress,Sheboygan Press,https://www.sheboyganpress.com/,Sheboygan,America/Chicago,US,en
shelbystar,The Shelby Star,https://www.shelbystar.com/,Shelby,America/New_York,US,en
sherwood_news,Sherwood News,https://sherwood.news/,New York City,America/New_York,US,en
shillsalmanac,South Hills Almanac,https://thealmanac.net/,South Hills,America/New_York,US,en
shinysheet,Palm Beach Daily News,https://www.palmbeachdailynews.com/,West Palm Beach,America/New_York,US,en
shreveporttimes,Shreveport Times,https://www.shreveporttimes.com/,Shreveport,America/Chicago,US,en
signalcleveland,Signal Cleveland,https://signalcleveland.org/,Cleveland,America/New_York,US,en
simple_flying,Simple Flying,https://simpleflying.com/,London,Europe/London,GB,en
sinembargomx,SinEmbargo,https://www.sinembargo.mx/,Mexico City,America/Mexico_City,MX,es
sinow,Sports Illustrated,https://www.si.com/,New York City,America/New_York,US,en
siskiyou_daily,The Siskiyou Daily News,https://www.siskiyoudaily.com/,Yreka,America/Los_Angeles,US,en
sjrbreaking,The State Journal-Register,https://www.sj-r.com/,Springfield,America/Chicago,US,en
sjspotlight,San José Spotlight,https://www.sanjosespotlight.com/,San Jose,America/Los_Angeles,US,en
sjvwater,SJV Water,https://sjvwater.org/news/,Bakersfield,America/Los_Angeles,US,en
slate,Slate,https://slate.com/,New York City,America/New_York,US,en
slotribune,The Tribune,http://www.sanluisobispo.com,San Luis Obispo,America/Los_Angeles,US,en
sltimes,Storm Lake Times,https://www.stormlake.com/,Storm Lake,America/Chicago,US,en
sltrib,Salt Lake Tribune,https://www.sltrib.com/,Salt Lake City,America/Denver,US,en
sludge,Sludge,https://readsludge.com/,Brooklyn,America/New_York,US,en
source_nm,Source New Mexico,https://sourcenm.com/,Sante Fe,America/Denver,US,en
southcoasttoday,SouthCoastToday.com,https://www.southcoasttoday.com/,New Bedford,America/New_York,US,en
southsideweekly,South Side Weekly,https://southsideweekly.com/,Chicago,America/Chicago,US,en
sowetanlive,Sowetan,https://www.sowetanlive.co.za/,Johannesburg,Africa/Johannesburg,ZA,en
spacedotcom,Space.com,https://www.space.com/,New York City,America/New_York,US,en
spacenews_inc,Space News,https://spacenews.com/,Washington,America/New_York,US,en
spectator,Spectator,https://www.spectator.co.uk/,London,Europe/London,GB,en
