handle,name,url,location,timezone,country,language
fortworthreport,Fort Worth Report,https://fortworthreport.org/,Fort Worth,America/Chicago,US,en
fostersdailydem,Foster's Daily Democrat,https://www.fosters.com/,Dover,America/New_York,US,en
fox12oregon,Fox 12 Oregon,https://www.kptv.com/,Beaverton,America/Los_Angeles,US,en
fox29philly,FOX29 Philly,https://www.fox29.com/,Philadelphia,America/New_York,US,en
fox5atlanta,Fox 5 Atlanta,https://www.fox5atlanta.com,Atlanta,America/New_York,US,en
fox5ny,Fox 5 New York,https://www.fox5ny.com/,New York City,America/New_York,US,en
foxla,FOX 11 Los Angeles,https://www.foxla.com/,Los Angeles,America/Los_Angeles,US,en
foxnews,Fox News,https://www.foxnews.com/,New York City,America/New_York,US,en
foxsports,Fox Sports,https://www.foxsports.com/,New York City,America/New_York,US,en
france24,FRANCE 24,https://www.france24.com/fr/,Paris,Europe/Paris,FR,fr
france24_en,France 24 English,https://www.france24.com/en/,Paris,Europe/Paris,FR,fr
franceinfo,franceinfo,https://www.francetvinfo.fr/,Paris,Europe/Paris,FR,fr
frednewspost,Frederick News-Post,https://www.fredericknewspost.com/,Frederick,America/New_York,US,en
freebeacon,Washington Free Beacon,https://freebeacon.com/,Washington,America/New_York,US,en
freep,Detroit Free Press,https://www.freep.com/,Detroit,America/Detroit,US,en
freethinkmedia,Freethink,https://www.freethink.com/,San Francisco,America/Los_Angeles,US,en
fremontnm,Fremont News Messenger,https://www.thenews-messenger.com/,Fremont,America/New_York,US,en
fresnobee,The Fresno Bee,http://www.fresnobee.com,Fresno,America/Los_Angeles,US,en
ft,Financial Times,https://ft.com/?edition=uk,London,Europe/London,GB,en
futurism,Futurism,https://futurism.com/,New York City,America/New_York,US,en
g1,g1,https://g1.globo.com/,Rio de Janeiro,America/Sao_Paulo,BR,pt
gadsdentimes,The Gadsden Times,https://www.gadsdentimes.com/,Gadsden,America/Chicago,US,en
gainesvillesun,Gainesville Sun,https://www.gainesville.com/,Gainesville,America/New_York,US,en
galesburg,The Galesburg Register-Mail,https://www.galesburg.com/,Galesburg,America/Chicago,US,en
galvnews,Galveston County Daily News,https://www.galvnews.com/,Galveston,America/Chicago,US,en
gardner_news,The Gardner News,https://www.thegardnernews.com/,Gardner,America/New_York,US,en
gastongazette,Gaston Gazette,https://www.gastongazette.com/,Gastonia,America/New_York,US,en
gatewaypundit,Gateway Pundit,https://www.thegatewaypundit.com/,St. Louis,America/Chicago,US,en
gawker,Gawker,https://www.gawker.com/,New York City,America/New_York,US,en
gazetadopovo,Gazeta do Povo,https://www.gazetadopovo.com.br/,Curitiba,America/Sao_Paulo,BR,pt
gazetaru,Gazeta.Ru,https://www.gazeta.ru/,Moscow,Europe/Moscow,RU,ru
gazettedotcom,Cedar Rapids Gazette,https://www.thegazette.com/,Cedar Rapids,America/Chicago,US,en
gbpressgazette,Green Bay Press-Gazette,https://www.greenbaypressgazette.com/,Green Bay,America/Chicago,US,en
gcm_nf,Austin Weekly News,https://www.growingcommunitymedia.org/,Oak Park,America/Chicago,US,en
gen_republic,Geneseo Republic,https://www.geneseorepublic.com/,Geneseo,America/Chicago,US,en
georgiastraight,The Georgia Straight,https://www.straight.com/,Vancouver,America/Vancouver,CA,en
getfandom,Fandom,https://www.fandom.com/,San Francisco,America/Los_Angeles,US,en
gfherald,Grand Forks Herald,https://www.grandforksherald.com/,Grand Forks,America/Chicago,US,en
gftribune,Great Falls Tribune,https://www.greatfallstribune.com/,Great Falls,America/Denver,US,en
gigharbornow,Gig Harbor Now,https://www.gigharbornow.org/,Gig Harbor,America/Los_Angeles,US,en
gizmodo,Gizmodo,https://gizmodo.com/,San Francisco,America/Los_Angeles,US,en
globalnews,Global News,https://globalnews.ca/,Toronto,America/New_York,CA,en
globeandmail,The Globe and Mail,https://www.theglobeandmail.com/,Toronto,America/New_York,CA,en
goerie,GoErie.com,https://www.goerie.com/,Erie,America/New_York,US,en
gosanangelo,The San Angelo Standard-Times,https://www.gosanangelo.com/,San Angelo,America/Chicago,US,en
gothamgazette,Gotham Gazettee,https://www.gothamgazette.com/,New York City,America/New_York,US,en
gothamist,Gothamist,https://gothamist.com/,New York City,America/New_York,US,en
goupstate,Spartanburg Herald-Journal,https://www.goupstate.com/,Spartanburg,America/New_York,US,en
gpbnews,Georgia Public Broadcasting,https://www.gpb.org/news,Atlanta,America/New_York,US,en
gradynewsource,Grady Newsource,https://gradynewsource.uga.edu/,Athens,America/New_York,US,en
green_footballs,Little Green Footballs,http://littlegreenfootballs.com/,Los Angeles,America/Los_Angeles,US,en
greenvillenews,Greenville News,https://www.greenvilleonline.com/,Greenville,America/New_York,US,en
grist,Grist,https://grist.org/,Seattle,America/Los_Angeles,US,en
gtimes,Gainesville Times,https://www.gainesvilletimes.com/,Gainesville,America/New_York,US,en
guardian,The Guardian,https://theguardian.com/uk,London,Europe/London,GB,en
gwinnettdaily,Gwinnett Daily Post,https://www.gwinnettdailypost.com,Lawrenceville,America/New_York,US,en
haaretzcom,Haaretz,https://www.haaretz.co.il/,Tel Aviv,Asia/Tel_Aviv,IL,he
harpers,Harper’s,https://harpers.org/,New York City,America/New_York,US,en
hartfordcourant,Hartford Courant,https://www.courant.com/,Hartford,America/New_York,US,en
hburgamerican,Hattiesburg American,https://www.hattiesburgamerican.com/,Hattiesburg,America/Chicago,US,en
hellgateny,Hell Gate,https://www.hellgatenyc.com/,New York City,America/New_York,US,en
heraldleader,Lexington Herald-Leader,https://www.kentucky.com/,Lexington,America/New_York,US,en
heraldmailnews,Herald-Mail Media,https://www.heraldmailmedia.com/,Hagerstown,America/New_York,US,en
heraldscotland,Daily Herald,https://www.heraldscotland.com/,Scotland,Europe/London,GB,en
heraldtribune,Sarasota Herald-Tribune,https://www.heraldtribune.com/,Sarasota,America/New_York,US,en
hiddencityphila,Hidden City Daily,http://hiddencityphila.org/,Philadelphia,America/New_York,US,en
highcountrynews,High Country News,https://www.hcn.org/,Paonia,America/Denver,US,en
hitribuneherald,Hawaii Tribune Herald,https://www.hawaiitribune-herald.com/,Hilo,US/Hawaii,US,en
hnnow,The Fall River Herald News,https://www.heraldnews.com/,Fall River,America/New_York,US,en
hollandsentinel,hollandsentinel.com,https://www.hollandsentinel.com/,Holland,America/Detroit,US,en
hornelltribune,The Hornell Evening Tribune,https://www.eveningtribune.com/,Hornell,America/New_York,US,en
hotairblog,HotAir,https://hotair.com/,Washington,America/New_York,US,en
hou_landing,Houston Landing,https://www.houstonlanding.org/,Houston,America/Chicago,US,en
houmatoday,Houma Today,https://www.houmatoday.com/,Houma,America/Chicago,US,en
houstonchron,Houston Chronicle,https://www.houstonchronicle.com/,Houston,America/Chicago,US,en
hromadskeua,hromadske,https://hromadske.ua/,Kiev,Europe/Kiev,UA,uk
htrnews,Herald Times Reporter,https://www.htrnews.com/,Manitowoc,America/Chicago,US,en
huffpost,Huffington Post,https://www.huffpost.com/,New York City,America/New_York,US,en
huffpostcanada,HuffPost Canada,https://www.huffpost.com/,Toronto,America/New_York,CA,en
humanevents,Human Events,https://humanevents.com/,Washington,America/New_York,US,en
humansofny,Humans of New York,https://www.humansofnewyork.com/,New York City,America/New_York,US,en
hutchnews,The Hutchinson News,https://www.hutchnews.com/,Hutchinson,America/Chicago,US,en
hwherald,Harvey World Herald,https://harveyworld.org/,Harvey,America/Chicago,US,en
icijorg,ICIJ,https://www.icij.org/,Washington,America/New_York,US,en
idahostatesman,Idaho Statesman,http://www.idahostatesman.com,Boise,America/Denver,US,en
ilanganewspaper,Ilanga,https://ilanganews.co.za/,Durban,Africa/Johannesburg,ZA,zu
ilisolezwe,I'solezwe lesiXhosa,https://www.isolezwelesixhosa.co.za/,East London,Africa/Johannesburg,ZA,xh
ilmanifesto,il manifesto,https://ilmanifesto.it/,Rome,Europe/Rome,IT,it
imagekhabar,Imagekhabar,https://www.imagekhabar.com/,Kathmandu,Asia/Kathmandu,NP,ne
indedotcom,The Massillon Independent,https://www.indeonline.com/,Massillon,America/New_York,US,en
independent,The Independent,https://www.independent.co.uk/news/uk,London,Europe/London,GB,en
independent_ie,Independent.ie,https://www.independent.ie/,Dublin,Europe/Dublin,IE,en
independentmail,Anderson Independent-Mail,https://www.independentmail.com/,Anderson,America/New_York,US,en
indiancountry,Indian Country Today,https://indiancountrytoday.com/,Phoenix,America/Phoenix,US,en
indiatoday,India Today,https://www.indiatoday.in/,Noida,Asia/Kolkata,IN,en
indystar,The Indianapolis Star,https://www.indystar.com/,Indianapolis,America/Indiana/Indianapolis,US,en
inewsource,inewsource,https://inewsource.org/,San Diego,America/Los_Angeles,US,en
infoamazoniabr,InfoAmazonia,https://infoamazonia.org/,São Paulo,America/Sao_Paulo,BR,pt
infowars,Infowars,https://www.infowars.com/,Austin,America/Chicago,US,en
injusticewatch,Injustice Watch,https://www.injusticewatch.org/,Chicago,America/Chicago,US,en
insideclimate,Inside Climate News,https://insideclimatenews.org/,Brooklyn,America/New_York,US,en
inthesetimesmag,In These Times ,https://inthesetimes.com/,Chicago,America/Chicago,US,en
iol,Independent Online,https://www.iol.co.za/,Cape Town,Africa/Johannesburg,ZA,en
ioniassnews,Ionia Sentinel-Standard,https://www.sentinel-standard.com/,Ionia,America/Detroit,US,en
iowapublicradio,Iowa Public Radio,https://www.iowapublicradio.org/,Des Moines,America/Chicago,US,en
irishcathnews,Irish Catholic,https://www.irishcatholic.com/,Dublin,Europe/Dublin,IE,en
irishexaminer,Irish Examiner,https://www.irishexaminer.com/,Dublin,Europe/Dublin,IE,en
irishtimes,Irish Times,https://www.irishtimes.com/,Dublin,Europe/Dublin,IE,en
islandpacket,The Island Packet,http://www.islandpacket.com,Hilton Head Island,America/New_York,US,en
israelhayomeng,Israel Hayom,https://www.israelhayom.co.il/,Tel Aviv,Asia/Tel_Aviv,IL,he
ithacajournal,Ithaca Journal,https://www.ithacajournal.com/,Ithaca,America/New_York,US,en
izvestia_ru,Izvestia,https://iz.ru/,Moscow,Europe/Moscow,RU,ru
jacksonholenews,Jackson Hole News&Guide,https://www.jhnewsandguide.com/,Jackson Hole,America/Denver,US,en
jacobin,Jacobin,https://jacobin.com/,New York City,America/New_York,US,en
jagrannews,Dainik Jagram,https://www.jagran.com/,Kanpur,Asia/Kolkata,IN,hi
jaxdotcom,Florida Times-Union,https://www.jacksonville.com/,Jacksonville,America/New_York,US,en
jconline,Lafayette Journal & Courier,https://www.jconline.com/,Lafayette,America/Indiana/Indianapolis,US,en
jdemontreal,La Journal de Montréal,https://www.journaldemontreal.com/,Montreal,America/New_York,CA,fr
jdnews,"The Daily News - Jacksonville, NC",https://www.jdnews.com/,Jacksonville,America/New_York,US,en
jerusalem_post,Jerusalem Post,https://www.jpost.com/,Jerusalem,Asia/Tel_Aviv,IL,en
jessicavalenti,All in Her Head,https://jessica.substack.com/,Brooklyn,America/New_York,US,en
jewishcurrents,Jewish Currents,https://www.jewishcurrents.org/,Brooklyn,America/New_York,US,en
jezebel,Jezebel,https://jezebel.com/,New York City,America/New_York,US,en
